MZU	VEMZ	Muzaffarpur Airport	Muzaffarpur	12.23	76.655833	
MYQ	VOMY	Mysore Airport	Mysore	19.183333	77.316667	
NDC	VAND	Nanded Airport	Nanded	22.638412	88.439705	
CCU	VECC	Netaji Subhash Chandra Bose International Airport	Kolkata	11.6	79.433333	
NVY	VONV	Neyveli Airport	Neyveli	18.15	76.1	
OMN	Osmanabad Airport	Osmanabad	28.066084	95.335526	
PGH	VIPT	Pantnagar Airport	Pantnagar	32.233548	75.635276	
IXT	VEPG	Pasighat Airport	Pasighat	25.591768	85.088964	
IXP	VIPK	Pathankot Airport	Pathankot	11.029558	77.040615	
PAT	VEPT	Patna Airport	Patna	11.968259	79.811814	
CJB	VOCB	Peelamedu Airport	Coimbatore	21.650278	69.658611	
PNY	VOPC	Pondicherry Airport	Pondicherry	11.641717	92.73002	
PBD	VAPR	Porbandar Airport	Porbandar	14.148533	77.790981	
IXZ	VOPB	Port Blair Airport	Port Blair	21.181685	81.741639	
PUT	Puttaparthi Airport	Puttaparthi	31.7069444	74.7972222	
RPR	VARP	Raipur Airport	Raipur	17.109491	81.818718	
ATQ	VIAR	Raja Sansi Airport	Amritsar	22.310625	70.780215	
RJA	VORY	Rajahmundry Airport	Rajahmundry	33.376937	74.315488	
RAJ	VARK	Rajkot Airport	Rajkot	18.766667	79.4	
RJI	Rajouri Airport	Rajouri	17.014444	73.32972	
RMD	Ramagundam Airport	Ramagundam	24.533333	81.3	
RTC	VARG	Ratnagiri Airport	Ratnagiri	22.256667	84.814722	
REW	Rewa Airport	Rewa	26.734712	94.184713	
RRK	VERK	Rourkela Airport	Rourkela	23.287778	69.67	
JRH	VEJT	Rowriah Airport	Jorhat	26.143612	89.90667	
BHJ	VABJ	Rudra Mata Airport	Bhuj	36.35603	-91.831385	
RUP	VERU	Rupsi Airport	Rupsi	26.706405	92.776737	
SXV	VOSM	Salem Airport	Salem	26.821226	75.801025	
TEZ	VETZ	Salonibari Airport	Tezpur	24.564259	80.851822	
JAI	VIJP	Sanganeer Airport	Jaipur	32.690278	74.838889	
TNI	VIST	Satna Airport	Satna	17.625	75.936111	
IXJ	VIJU	Satwari Airport	Jammu	31.082194	77.067864	
SSE	VASL	Sholapur Airport	Sholapur	22.813535	86.169365	
SLV	VISM	Simla Airport	Simla	21.091667	79.048056	
IXW	VEJS	Sonari Airport	Jamshedpur	33.987456	74.77369	
NAG	VANP	Sonegaon Airport	Nagpur	21.117659	72.745255	
SXR	VISR	Srinagar Airport	Srinagar	27.941917	96.134865	
STV	VASU	Surat Airport	Surat	10.8	79.15	
TEI	VETJ	Tezu Airport	Tezu	8.476499	76.918835	
TJV	VOTJ	Thanjavur Airport	Thanjavur	13.633647	79.544046	
TRV	VOTV	Thiruvananthapuram International Airport	Trivandrum	10.764619	78.715882	
TIR	VOTP	Tirupati Airport	Tirupati	8.722947	78.027097	
TRZ	VOTR	Trichy Airport	Trichy	22.337136	73.227241	
TCR	Tuticorin Airport	Tuticorin	25.451111	82.858611	
BDQ	VABO	Vadodara Airport	Vadodara	16.530594	80.796854	
VNS	VIBN	Varanasi Airport	Varanasi	17.728372	83.223517	
VGA	VOBZ	Vijayawada Airport	Vijayawada	17.916667	79.6	
